Place ID,Latitude,Longitude
ChIJDYED-wZfwokRBcjY7Bkt6wY,40.7490669,-73.892484
ChIJXwa4YzFfwokRTJUY3NJWod4,40.7607686,-73.9298909
ChIJE84ZDTFfwokRwPst1ZRXMnA,40.760171,-73.928599
ChIJwX48nTpfwokR63DTWAN8KyA,40.758362,-73.9241
ChIJxQJ0gHj0wokRNrYK4EL7vco,40.861296,-73.897749
ChIJG4lpEsVgwokR4KXSmuljV34,40.7020046,-73.8087115
ChIJOe-muGNZwokRREqTTXlUKxM,40.7166035,-73.9669327
ChIJVwcvlYPzwokR6Gj9WmRP7KU,40.866978,-73.893509
ChIJIRZ6ztNewokRJkuEtM5HzZw,40.7522146,-73.9162946
ChIJrdqBuyNfwokRB29QpC8JGB8,40.7519904,-73.9161003
ChIJz9quPQNfwokR5mk_DCdguVc,40.7464182,-73.899251
ChIJpypoPMMt6IkRMVLa1wVVovM,40.76509,-73.303344
ChIJR8zgmMQt6IkR7DhVNlfQLag,40.7646254,-73.3066003
ChIJi7yoPcMt6IkRH4vvbebJ998,40.7628182,-73.3058486
ChIJ24LKFcMt6IkRKJDPddihOzY,40.7636264,-73.3050737
ChIJC0ZnD9-BwokRjh5-JZD5WzE,40.7845767,-73.4454241
ChIJWQRMPv9YwokRExZRB8gYCBc,40.7594853,-73.9811867
ChIJ1_zirw9gwokRMIookL712TQ,40.7611825,-73.8323726
ChIJY4w6_QVZwokRXMhNatMnGY4,40.744866,-73.9764937
ChIJpY9Tg01YwokRCr_aQpDrqgk,40.75912,-73.995625
ChIJVdjc1lRYwokR9heyA9HsTSo,40.7556212,-73.9863487
ChIJt4gyZeNYwokRr25uEZJyexk,40.757552,-73.969055
ChIJP9p8-FZYwokR6xDCM4A-Bf8,40.762456,-73.985984
ChIJ1wgCkq5ZwokRVUdpNYPS3V0,40.751056,-73.9903102
ChIJ1YpEdDBewokR3cM0xPrXW9Q,40.7272409,-73.8553071
ChIJNRI-YJhgwokR8UGMJWu9MnM,40.7152325,-73.8329182
ChIJ84M9QgZfwokRkW1p9dHvNdg,40.7485922,-73.8925687
ChIJwcv48AZfwokRd8bhjHIPrOg,40.7492069,-73.892754
ChIJYeG0uCRZwokRxx2UGggt0V4,40.741858,-73.9522089
ChIJr8ucwulYwokR8JcBcoGMZLw,40.7646071,-73.9599893
ChIJ8XWaOSVfwokR3LzQfMwbmGU,40.7556473,-73.9225036
ChIJRafTlp3zwokR_DXji3P3cR8,40.8733278,-73.8901779
ChIJtbuSieVYwokRPSqPIwnolRE,40.76266,-73.967258
ChIJo_0Hpw9gwokRcG5OKuMcWok,40.761686,-73.832618
ChIJY3P-ETtfwokRQZF1Mmg9xZw,40.7578526,-73.9201005
